id,name,intelligence,strength,speed,durability,power,combat,full_name,publisher,alignment,gender,eye_color,hair_color,url,height_cm,weight_kg
1,A-Bomb,38,100,17,80,24,64,Richard Milhouse Jones,Marvel Comics,Good,Male,Yellow,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg,203,441
2,Abe Sapien,88,28,35,65,100,85,Abraham Sapien,Dark Horse Comics,Good,Male,Blue,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/956.jpg,191,65
3,Abin Sur,50,90,53,64,99,65,NA,Dc Comics,Good,Male,Blue,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg,185,90
4,Abomination,63,80,53,90,62,95,Emil Blonsky,Marvel Comics,Bad,Male,Green,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/1.jpg,203,441
5,Abraxas,88,63,83,100,100,55,Abraxas,Marvel Comics,Bad,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/181.jpg,NA,NA
6,Absorbing Man,38,80,25,100,98,64,Carl Creel,Marvel Comics,Bad,Male,Blue,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg,193,122
7,Adam Monroe,63,10,12,100,100,64,NA,Nbc - Heroes,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg,NA,NA
8,Adam Strange,69,10,33,40,37,50,Adam Strange,Dc Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/626.jpg,185,88
9,Agent 13,NA,46,NA,NA,NA,NA,Sharon Carter,Others,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/167.jpg,173,61
10,Agent Bob,10,8,13,5,5,20,Bob,Marvel Comics,Good,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg,178,81
11,Agent Zero,75,28,38,80,72,95,Christoph Nord,Marvel Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/396.jpg,191,104
